L,Execution time (s)
5,0.013372674999118317
10,0.029809730000124546
15,0.0624091440004122
20,0.1339258570005768
25,0.21914655399814365
30,0.3685711890029779
35,0.5792724900020403
40,1.343608276998566
45,1.760517308000999
50,1.6719685229982133
55,2.1751037840003846
60,2.833677508002438
65,4.152288450000924
70,4.934125715000846
75,5.687409960999503
80,7.5259037049982
85,9.28929797699675
90,9.849650063999434
95,11.738718788001279
100,14.484216135999304
105,15.91011005800101
110,19.378181305997714
115,21.038852140001836
120,23.302710525000293
125,25.944337488999736
130,28.849543284999527
135,32.73126438899999
140,36.95773366499998
145,39.663478870999825
150,45.59119116200236
