L,Execution time (s)
5,0.009318522992543876
10,0.021798615984153003
15,0.041175580001436174
20,0.06978115602396429
25,0.11403342598350719
30,0.18064600898651406
35,0.2836269270046614
40,0.4183289570501074
45,0.6037025880068541
50,0.8158919329871424
55,1.0804893979802728
60,1.430067055975087
65,1.791271052963566
70,2.1831257970188744
75,2.7413587500341237
80,3.2882166039780714
85,3.9525982769555412
90,4.663165025005583
95,5.518860821030103
100,6.429287947015837
105,7.314840085979085
110,8.408349714998621
115,9.589295391982887
120,10.849509271036368
125,12.243021689006127
130,13.795264451997355
135,15.297208570991643
140,16.904486265033484
145,18.80929029599065
150,20.647581258032005
